latitude,longitude,altitude,geometry,coordinates,@id,area,public_transport,railway,ref,name,train,amenity,barrier,surface,departures_board,subway,lit,shelter,layer,level,tactile_paving,to,network,operator
28.6577337,77.2171377,,Polygon,"77.2171377,28.6577337,77.2170653,28.6579455,77.216856,28.6587717,77.2167956,28.6590835,77.216742,28.6595589,77.2166924,28.6604545,77.2166549,28.6604545,77.216675,28.6592836,77.2166978,28.6590282,77.2167434,28.6588046,77.2170036,28.6577078,77.2171377,28.6577337",way/464312309,yes,,platform,,,,,,,,,,,,,,,,
28.6594248,77.2168923,,Polygon,"77.2168923,28.6594248,77.2168681,28.6594248,77.216907,28.6590953,77.2169607,28.6587964,77.2171632,28.6580691,77.2173831,28.6575019,77.2174099,28.657509,77.2172141,28.6582245,77.2169808,28.6589823,77.2169352,28.6591706,77.2168923,28.6594248",way/464312311,yes,,platform,,,,,,,,,,,,,,,,
28.6611346,77.15726,,Polygon,"77.15726,28.6611346,77.1572064,28.6611864,77.1568711,28.6609205,77.1565117,28.6606027,77.156281,28.6603674,77.1560504,28.6601202,77.1557044,28.6596895,77.1557741,28.6596495,77.1561335,28.6600802,77.1563776,28.6603297,77.1566297,28.660591,77.1569677,28.6608922,77.15726,28.6611346",way/464317504,yes,platform,platform,,,,,,,,,,,,,,,,
28.6610005,77.1573754,,Polygon,"77.1573754,28.6610005,77.1573191,28.6610546,77.1570562,28.6608475,77.1566056,28.6604191,77.1562971,28.6600967,77.1558572,28.6595907,77.155927,28.6595365,77.1563669,28.6600473,77.1566458,28.660325,77.1571286,28.660791,77.1573754,28.6610005",way/464317505,yes,,platform,,,,,,,,,,,,,,,,
28.6610381,77.1578904,,Polygon,"77.1578904,28.6610381,77.1578314,28.6610923,77.1575363,28.660864,77.1574827,28.660911,77.1572359,28.6607063,77.1569435,28.660438,77.1566297,28.6601273,77.1563266,28.6597931,77.1560423,28.6594518,77.1560799,28.6594212,77.1551921,28.6583692,77.155243,28.6583386,77.1561711,28.6594283,77.1565466,28.6598284,77.156973,28.6602567,77.1572895,28.6605533,77.1576275,28.6608357,77.1578904,28.6610381",way/464317506,yes,platform,platform,,,,,,,,,,,,,,,,
28.6729959,77.289973,,Polygon,"77.289973,28.6729959,77.2897149,28.6729847,77.2897129,28.6729612,77.2924568,28.6730003,77.2953629,28.6730418,77.2953616,28.6731253,77.2951644,28.6731336,77.2949069,28.6731347,77.2941586,28.6731277,77.2937603,28.6731218,77.2931434,28.6731324,77.2927397,28.6731406,77.2924527,28.6731464,77.2919847,28.6731559,77.291577,28.6731547,77.2913289,28.673143,77.2910499,28.6731112,77.290211,28.6730206,77.289973,28.6729959",way/517396415,yes,platform,platform,,,,,,,,,,,,,,,,
28.6493744,77.3140271,,Polygon,"77.3140271,28.6493744,77.3140497,28.649352,77.3156536,28.6506056,77.3156886,28.6505711,77.315883,28.6507231,77.315848,28.6507575,77.3166729,28.6514022,77.3166503,28.6514246,77.3140271,28.6493744",way/517396416,yes,platform,platform,,,,,,,,,,,,,,,,
28.6514893,77.3165993,,Polygon,"77.3165993,28.6514893,77.3165748,28.6515138,77.3139355,28.6494613,77.3139601,28.6494367,77.3165993,28.6514893",way/517396417,yes,platform,platform,,,,,,,,,,,,,,,,
28.6727923,77.2891261,,Polygon,"77.2891261,28.6727923,77.2928833,28.672854,77.2947205,28.6728841,77.2947179,28.6729653,77.2928791,28.6729357,77.2891268,28.6728753,77.2891261,28.6727923",way/517396419,yes,platform,platform,,,,,,,,,,,,,,,,
28.6732459,77.2946126,,Polygon,"77.2946126,28.6732459,77.2946119,28.6733465,77.2938529,28.6733418,77.2923867,28.6733559,77.29151,28.6733536,77.2909628,28.6732889,77.2909795,28.6732224,77.2913134,28.6732589,77.2915642,28.6732718,77.2919692,28.6732753,77.2923827,28.6732615,77.2927444,28.6732495,77.2931883,28.6732424,77.2937644,28.6732347,77.2941485,28.67324,77.2946126,28.6732459",way/517396428,yes,platform,platform,,,,,,,,,,,,,,,,
