latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,type,name,shop,brand,brand:wikidata,cuisine,takeaway,website,addr:city,addr:housenumber,addr:postcode,addr:street,air_conditioning,bar,opening_hours,phone,smoking,wikidata,wikipedia,internet_access,alt_name,capacity,note,landuse,addr:suburb,outdoor_seating,addr:unit,delivery,wheelchair,check_date,tourism,diet:vegetarian,created_by,indoor_seating,addr:place,operator,name:fa,disused,cmt,description,ele,source,sym,addr:housename,name:ru,level,short_name,man_made,name:es,name:en,addr:country,official_name,wifi,contact:phone,start_date,name:fr,toilets,toilets:access,parking,popular name,email,food,diet:vegan,internet_access:fee,name:ca,name:hi,brand:wikipedia,name:ko,fixme,name:kn,name:de,name:ar,addr:hamlet,drive_through,phone_1,access,building:levels,source:height,name:ja,drink:coffee,drink:tea,seats,tables,addr:subdistrict,payment:cash,payment:debit_cards,payment:paytm,sport,alcohol,drink:beer,drink:vodka,drink:wine,self_service,drink:sake,branch,name:he,name:bn,addr:block,contact:email,contact:facebook,contact:instagram,contact:website,drink:shake,addr:district,instagram,indoor,diet:lacto_vegetarian,drink:hot_chocolate,opening_hours:covid19,diet:non-vegetarian,reservation,amenity_1,organic,addr:full
28.5447888,77.1911891,,Point,,node/3636402007,cafe,,,Shiru Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6406068,77.1048726,,Point,,node/3675396339,cafe,,,Hunger House,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6016349,77.1859966,,Point,,node/3885873379,cafe,,,Amour Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.553793,77.194397,,Point,,node/3977678826,cafe,,,Starbucks,,Starbucks,Q37158,coffee_shop,,starbucks.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.693373,77.2107525,,Point,,node/4052559934,cafe,,,Miranda's Nescafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6784236,77.2075946,,Point,,node/4052563412,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5006053,77.1857471,,Point,,node/4138055091,cafe,,,"subway, lavazza",,,,burger;regional;ice_cream;cake;coffee_shop;asian;pasta;noodles;pancake;donut;pizza;diner;indian;curry;fish;breakfast;tea;chinese;deli;barbecue,,,,,,100 Feet Road,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.5412792,77.2156818,,Point,,node/4236918192,cafe,,,The Brown Box,bakery,,,western,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6302749,77.2204652,,Point,,node/4241254891,cafe,,,Starbucks,,Starbucks,Q37158,coffee_shop,yes,,,,,,,,Mo-Su 08:00-00:30,,no,,,wlan,,,,,,no,,,limited,,,,,,,,,,,,,,,,,,,,,,,Starbucks Coffee,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6409134,77.2104527,,Point,,node/4262365091,cafe,,,Festa Cafe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
